order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD178426,ID6167266594,2022-10-12,,"[('Lucent 330S', 1), ('Thunder line', 2)]",5590,40.345,-37.8095201,144.9639661,50,Spring,False,1.12326,"ugly phone, but fast got a new phone! so far the phone doesn't seem to have any problems anymore. i would recommend this phone to people who want a phone that looks like an alcon x and can't afford it.",True
ORD013118,ID0452380704,2022-12-11,Thompson,"[('Toshika 750', 2), ('Universe Note', 2), ('Alcon 10', 2), ('Lucent 330S', 2)]",35900,,-37.82534920000001,144.95335,25,Summer,False,1.5153,very happy! nice phone! it was in excellent condition. i am very happy with it.,True
ORD024502,ID0580530626,2022-07-29,Bakers,"[('pearTV', 1), ('iStream', 2), ('Lucent 330S', 1), ('Toshika 750', 1)]",12160,,-37.8012188,145.0085809,0,Winter,True,1.52743,"great phone, awsome pics. great phone, as some pics., very nice sound. like having a little computer in your hands.",True
ORD322842,ID0634777739,2022-10-23,,"[('pearTV', 2), ('iAssist Line', 1)]",14845,87.634,-37.8147568,144.93777580000003,0,Spring,True,0.84952,cracked it has a hairlinecrack along the back but i guess that's what i get when buying used..... but it should have been disclosed in the description.,False
ORD132962,ID6167231002,2022-02-07,Thompson,"[('Alcon 10', 2), ('Toshika 750', 2), ('Olivia x460', 2)]",28990,35.607,-37.8152059,144.95255,50,Summer,False,0.55841,"better options for what you spend on a redmi 6 note pro, you can get something comparable with stock andriod instead of miui and better us based cell reception. this device works on pretty limited 4g lte bands in north america. make sure you do your research.",True
ORD004377,ID6202471403,2022-09-03,Nickolson,"[('Universe Note', 1), ('Lucent 330S', 1)]",4680,55.563,-37.8213321,144.9769858,25,Spring,False,0.72128,gophone very easy to use for basic text and talk,True
ORD376008,ID3085953493,2022-11-26,Nickolson,"[('Olivia x460', 1), ('Alcon 10', 1), ('pearTV', 2), ('Candle Inferno', 2)]",23655,,-37.817749600000006,144.97469719999995,50,Spring,True,0.46222,"network bandwidth all good beside the network bandwidth, if you use it in usa the most you can get is 4g and mostly is h+ which is fastest 3g network. download and upload speed is much slower. beware of this before buying this phone. overall it’s a really nice phone.",True
ORD244777,ID1713460586,2022-08-01,Bakers,"[('Candle Inferno', 2), ('Toshika 750', 2), ('Universe Note', 1), ('Olivia x460', 1)]",14175,,-37.8088453,144.9838917,25,Winter,True,1.00553,"the digico inferno hd8 is awesome! easy to navigate, color is beautiful",True
ORD053385,ID0055723357,2022-11-08,,"[('Olivia x460', 2), ('Lucent 330S', 2), ('Toshika 750', 2)]",13550,64.276,-37.8086785,144.95785869999997,0,Spring,False,1.04794,lack of seriousness in delivery times are not real https://www.digico.com/dp/b01cju9bbm/ref=cm_cr_ryp_prd_ttl_sol_0,False
ORD211422,ID0767670317,2022-02-15,Nickolson,"[('Alcon 10', 1), ('Candle Inferno', 2), ('pearTV', 1), ('iAssist Line', 1)]",18345,49.911,-37.80524370000001,144.9690899,50,Summer,True,1.48678,"wroks great great smart phone, doesn't cost a lot but works real nice.",True
ORD040326,ID0036822340,2022-02-24,,"[('Toshika 750', 2), ('pearTV', 2), ('Thunder line', 2)]",25620,95.837,-37.82091970000001,144.9578977,0,Summer,True,1.05689,"step a side pear and universe. this phone is flawless, looks great and performs in the 800.00 range. just read european reviews as it's not sold directly to us market.",True
ORD149631,ID0681285284,2022-05-13,Bakers,"[('Universe Note', 2), ('Olivia x460', 2), ('iAssist Line', 1)]",11575,31.798,-37.8080677,144.9917146,50,Autumn,False,0.37653,olivia i917 this product words wonderful .... it's was brought as a replacement for my daughters first focus phone ... and she loves it,True
ORD030894,ID3222703079,2022-11-20,Thompson,"[('Universe Note', 1), ('Olivia x460', 2)]",5900,79.554,-37.8013917,144.9433256,25,Spring,True,1.29826,good phone for the money i wish the battery lasted a little longer but the pic quality is great and the phone itsself is pretty good,True
ORD166956,ID2462381390,2022-08-07,Thompson,"[('pearTV', 2), ('Thunder line', 2)]",16980,41.478,-37.8000729,144.96203789999996,25,Winter,False,1.9237,"no charger??, my phone did not come with charger or any other accessory why????",False
ORD406461,ID5002594942,2022-10-29,Thompson,"[('Alcon 10', 2), ('Universe Note', 1), ('Thunder line', 2)]",25710,36.801,-37.81208820000001,144.95233369999997,50,Spring,False,0.46756,"it was in great shape. i got her a alcon 5s last ... i, got a alcon 6s plus for my daughter for christmas. it was in great shape.i got her a alcon 5s last year fo r christmas from deal fisher and that phone was great as well.",True
ORD474145,ID3967630077,2022-04-01,Thompson,"[('pearTV', 1), ('Toshika 750', 1)]",10630,48.808,-37.8178175,144.9515525,25,Autumn,False,0.69526,good product good product,True
ORD345078,ID1985361802,2022-07-23,,"[('iAssist Line', 2), ('Toshika 750', 1)]",8770,33.93,-37.80847070000001,144.9616689,50,Winter,False,,"five stars great phone, no scratches or anything, bought it refurbished. love it, and runs great.",True
ORD371756,ID0244222138,2022-09-18,Nickolson,"[('Lucent 330S', 1), ('iStream', 1)]",1380,72.761,-37.7990528,144.9727542,25,Spring,True,2.19355,"me enviaron cualquier cosa me enviaron un xperia xa1, no un xperia xa1 ultra. es vergonzoso que hayan mandado otro telefono.",False
ORD309946,ID0176703234,2022-07-16,Nickolson,"[('Toshika 750', 1), ('pearTV', 1), ('iAssist Line', 1)]",12855,49.7,-37.8109425,144.9639832,25,Winter,False,0.98255,it ok for kid to use it ok but it over heat when playing games and battery life is nothing to smile at don't get this phone get the original one of this one that not unlocked,True
ORD016192,ID4735909069,2022-05-21,,"[('Alcon 10', 2), ('iAssist Line', 1)]",20125,60.08,-37.8041733,144.9501706,25,Autumn,True,,great! good phone for a low price,True
ORD063684,ID0370749976,2022-08-13,Bakers,"[('Universe Note', 2), ('Alcon 10', 1)]",15850,47.041,-37.8152196,144.9854918,25,Winter,True,1.03529,"not new. phone was opened and had verizon logo, apps and someone's saved number. was not new phone. very disappointed.",False
ORD485504,ID0448076959,2022-06-12,Nickolson,"[('Thunder line', 2), ('pearTV', 1), ('Toshika 750', 2)]",19310,62.827,-37.7998806,144.9729288,25,Winter,True,2.10431,"i bought the 8"" to replace my old 7"". i love the bigger screen",True
ORD490523,ID0579963467,2022-05-08,,"[('Candle Inferno', 2), ('Thunder line', 1)]",3040,23.865,-37.8116606,144.945525,50,Autumn,False,,do not buy from this seller! defective junk. sold item with huge water damage black cloud across screen. test before yiou sell. stop chearting customers! this was supposed to be a gift. digico-please revoke seller rights for ashipping out junk.,False
ORD267964,ID6167266595,2022-03-26,,"[('Thunder line', 1), ('pearTV', 2)]",14800,50.407,-37.8094863,144.9639495,25,Autumn,False,1.12728,nice! great condition!,True
ORD457473,ID0595857779,2022-10-02,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 2), ('Toshika 750', 2), ('iAssist Line', 2)]",19910,78.104,-37.80886270000001,144.971177,0,Spring,False,1.09277,"super easy to migrate data from previous phone had the phone a couple of days and so far has exceeded expectations. super easy to migrate data from previous phone, would have been nice to have the adapter included, but wifi process worked just fine. all in all would recommend this phone.",True
ORD262801,ID2975544031,2022-01-29,Bakers,"[('Toshika 750', 1), ('Alcon 10', 1)]",13270,55.211,-37.81148510000001,144.9914235,25,Summer,True,0.37371,"wrong phone, package seem damaged not the same phone and it’s bad",False
ORD046818,ID4353912830,2022-01-23,Bakers,"[('Universe Note', 1), ('Lucent 330S', 2)]",5910,54.069,-37.82465429999999,145.01361799999995,50,Summer,True,2.29707,great deal on gold day,True
ORD237907,ID0598154601,2022-10-03,Nickolson,"[('iStream', 1), ('iAssist Line', 1), ('Alcon 10', 1), ('Universe Note', 1)]",14775,95.422,-37.8175628,144.9673906,0,Spring,True,0.22202,great value greatest price,True
ORD010600,ID1833126500,2022-03-04,Thompson,"[('Universe Note', 2), ('Thunder line', 1)]",9080,65.118,-37.8033534,144.9518514,0,Autumn,True,1.11947,one star las bocinas internas no funcionan,False
ORD385397,ID0131215798,2022-07-04,Nickolson,"[('iStream', 2), ('Lucent 330S', 2), ('Olivia x460', 2)]",5210,37.741,-37.8135325,144.9609245,25,Winter,False,0.94502,"defective screen after reading and watching multiple reviews, decided to risk with xiaomi brand, and expected reasonable device for a good price with low-resolution screen. but dissapointed. the image is half split with certain gradient and has a rainbow yellow (d)effect on right side. no way to get back to xiaomi again.",False
