order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD430562,ID0641028631,2022-07-11,Thompson,"[('Universe Note', 2), ('Lucent 330S', 1), ('Alcon 10', 2)]",26030.0,56.593,-37.8104922,144.94322759999997,25,Winter,True,0.41601,"great deal really responsive, large colorful screen, runs apps like snapchat and instagram really well, android 9 is very smooth and consistent. works well with t-mobile 4g lte",True
ORD247368,ID6167413282,2022-12-04,Thompson,"[('Lucent 330S', 2), ('Olivia x460', 2), ('iStream', 1)]",5060.0,94.56,-37.8162255,144.95672040000005,0,Summer,True,0.93635,it works just like a olivia universe s4 that was stolen from me i had a droid incredible 2 and decide to get this phone. it works just like a olivia universe s4 that was stolen from me. it is worth having. good phone.,True
ORD444928,ID1281079287,2022-06-11,Thompson,"[('Toshika 750', 2), ('pearTV', 1)]",14950.0,41.693,-37.7996225,144.955018,50,Winter,True,1.61224,love the phone. i had one at full price. but love this one more cause the price. felt like a new phone. didn't feel like a newer note 7 was needed as its not much of a change. maybe note 10 lolol,True
ORD494678,ID0664380400,2022-06-01,Thompson,"[('Thunder line', 2), ('Universe Note', 1), ('Lucent 330S', 2)]",10270.0,42.785,-37.8196633,144.97273159999995,25,Winter,True,0.30392,"digico sucks!!! the touchscreen got messed up in less than 3 months, if you are planning to buy this device i would recommend to go straight to its website at huawei line com.",False
ORD313132,ID0598347145,2022-12-04,Nickolson,"[('Olivia x460', 2), ('iStream', 2), ('Candle Inferno', 1)]",3180.0,36.466,-37.81402429999999,144.96335530000005,50,Summer,False,0.74547,better than expected still learning how to use it very pleased,True
ORD376523,ID0291483919,2022-12-19,Thompson,"[('iAssist Line', 2), ('Universe Note', 2)]",15799.999999999995,66.643,-37.81534129999999,144.9511735,25,Summer,True,0.46745,google pixel best,True
ORD281457,ID2207663849,2022-02-16,Thompson,"[('Universe Note', 2), ('iAssist Line', 2)]",15799.999999999995,48.874,-37.8012858,144.9457072,50,Summer,True,1.27326,"like new condition very happy with this purchase. the phone looks and feels brand new, came in original box with all accessories and can't get any better than the us unlocked version.",True
ORD273127,ID4301655729,2022-10-12,Bakers,"[('Alcon 10', 2), ('Lucent 330S', 2), ('Thunder line', 2)]",24720.0,83.616,-37.8204078,145.0131858,0,Spring,False,1.95858,more feathers then the s7 model of olivia my wife like the feathers in the s8 olivia over the s7 she had.,True
ORD146043,ID0777832638,2022-07-30,Thompson,"[('Thunder line', 1), ('pearTV', 2), ('Candle Inferno', 2)]",15660.0,60.31,-37.8040854,144.9584151,25,Winter,True,1.38189,nice price for the new model with iassist built in and expandable storage!,True
ORD324637,ID0356077541,2022-02-08,Bakers,"[('Alcon 10', 2), ('Candle Inferno', 1)]",18330.0,52.993,-37.8085692,144.9925145,0,Summer,False,0.28696,one star this is a fake phone. beware!,False
ORD216306,ID2317966814,2022-04-04,Nickolson,"[('iAssist Line', 2), ('iStream', 2)]",9199.99999999999,79.546,-37.81052,144.9754675,0,Autumn,True,1.03861,"amazing condition! condition of the phone was amazing! you would’ve thought it was new, wow! not a single blemish anywhere.",True
ORD336275,ID6207067488,2022-04-17,Nickolson,"[('Thunder line', 1), ('iAssist Line', 1)]",6629.999999999996,70.632,-37.8025965,144.96517580000005,0,Autumn,False,1.822,excellent cheap phone! excellent cheap phone!,True
ORD126670,ID6141796421,2022-12-25,Nickolson,"[('Universe Note', 2), ('Alcon 10', 2), ('pearTV', 2), ('iAssist Line', 2)]",46320.0,35.029,-37.8175238,144.9683659,50,Summer,True,0.15836,"i hope olivia know that how bad and inconvenient it is when external memory is not ... i hope olivia know that how bad and inconvenient it is when external memory is not supported on the almost perfect smartphone. the more i expected about it, the more it maked me disappointed !!!",False
ORD188714,ID4698484056,2022-10-26,Bakers,"[('pearTV', 1), ('Toshika 750', 1), ('Lucent 330S', 1)]",11860.0,52.472,-37.8009307,145.005533,50,Spring,True,1.35616,,True
ORD293717,ID0589450912,2022-09-16,Nickolson,"[('Thunder line', 2), ('pearTV', 2)]",16980.0,50.21,-37.8100334,144.9726224,50,Spring,True,0.99059,"i used daily and its works awesome, the price and performance are good i suggested to my friends , bought last yrs as well gave to my dad, he loves it.",True
