order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer,discounted_delivery
ORD120069,ID0444352324,2022-11-25,Nickolson,"[('Universe Note', 2), ('Candle Inferno', 1), ('iStream', 1), ('iAssist Line', 1)]",9705,40.22,-37.8298477,144.9668629,50,Spring,False,1.27472,it is what i expected it is what expected! i am happy with my purchase.,True,80.44
ORD090950,ID0312718322,2022-12-19,Thompson,"[('iAssist Line', 1), ('pearTV', 1), ('iStream', 2), ('Candle Inferno', 1)]",9265,62.071,-37.8029465,144.9616284,25,Summer,False,1.6769,came in an original box almost new in perfect condition with no issues. no earphones,True,82.76133333333333
ORD311738,ID0575388293,2022-01-05,Nickolson,"[('Alcon 10', 1), ('iStream', 1), ('Toshika 750', 1)]",13420,58.39,-37.8199694,144.985119,25,Summer,False,1.37749,"well worth it!!! everything about this phone is excellent, just as good as brand new from store, with out the over priced tag. very happy with purchase.",True,77.85333333333334
ORD413910,ID1492169343,2022-05-11,Thompson,"[('pearTV', 1), ('Alcon 10', 1)]",15260,62.745,-37.8018073,144.9636132,25,Autumn,True,1.89215,awesome buy! fantastic phone. i did not expect quality this good from a sub-200$ phone. almost a year in and it still functions like a dream.,True,83.66
ORD496859,ID0591342509,2022-05-14,Nickolson,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('Universe Note', 1)]",6770,38.428,-37.8212612,144.9577952,25,Autumn,False,1.0755,"wish i had read more reviews. phone has scratches and smudges that are clearly noticeable more than 12 in. away. phone came with no instructions, and lacked key accessories (such as the charge adapter). utterly frustrated with this purchase.",False,51.23733333333333
ORD189044,ID4716795838,2022-04-13,Thompson,"[('iStream', 1), ('Candle Inferno', 2), ('pearTV', 1), ('iAssist Line', 1)]",9545,78.443,-37.8189455,144.953212,0,Autumn,True,0.8828,"love this cellphone 1st time having a olivia phone, love it",True,78.443
ORD452162,ID1462399059,2022-01-19,Bakers,"[('iStream', 1), ('Candle Inferno', 1), ('Lucent 330S', 2), ('Universe Note', 1)]",6490,86.032,-37.8200279,145.015796,0,Summer,False,2.1254,five stars beautiful! it worked perfectly well.,True,86.032
ORD029416,ID4418536087,2022-07-14,Thompson,"[('Thunder line', 2), ('Olivia x460', 2), ('Toshika 750', 2), ('Lucent 330S', 2)]",17910,53.019,-37.8025886,144.96313600000005,25,Winter,False,1.80472,"great deal. great buy. looks , feels, and performs like brand new.",True,70.692
ORD369005,ID0387153083,2022-07-21,Thompson,"[('pearTV', 1), ('Alcon 10', 1), ('Toshika 750', 2), ('iStream', 2)]",24200,78.282,-37.8048885,144.9522312,0,Winter,True,0.9783,recommend. the exterior is clean and free of scratches. battery condition is 79%.,True,78.282
ORD098515,ID6167254932,2022-09-08,Nickolson,"[('pearTV', 1), ('Thunder line', 2)]",10670,48.987,-37.815866,144.9724123,50,Spring,True,0.39446,the device is a good item and i really recommend to everyone,True,97.974
ORD302393,ID0250479885,2022-03-06,Bakers,"[('iAssist Line', 1), ('Lucent 330S', 2)]",4685,32.619,-37.816325,145.00312119999995,50,Autumn,False,0.98878,four stars like everything but how the lucent line doesn't have all the features the droid line has.,True,65.238
ORD391486,ID0247532606,2022-07-12,Thompson,"[('Olivia x460', 2), ('Lucent 330S', 1), ('Toshika 750', 2), ('Universe Note', 1)]",15770,75.597,-37.8179326,144.95112519999995,0,Winter,True,0.68557,three stars ok,True,75.597
ORD462646,ID6167191741,2022-02-12,Nickolson,"[('iStream', 2), ('pearTV', 2)]",12920,34.836,-37.8145878,144.9700684,50,Summer,False,0.44838,"phone may be okay, but camera is janky i returned this phone immediately because i had it confused with the lucent g 4th generation phone. i would have kept it, but the camera was terrible. my xp flip phone took pictures that were better.",True,69.672
ORD176464,ID0443302588,2022-04-06,Bakers,"[('Universe Note', 2), ('Toshika 750', 2)]",15540,67.397,-37.81252960000001,145.0049281,0,Autumn,False,0.89814,awesome recently picked up the pixel 2 xl i've had it for a few days now and it is working great. screen quality is good works with t-mobile sim fingerprint scanner and camera working perfectly.,True,67.397
ORD159089,ID3555802228,2022-08-28,Thompson,"[('Lucent 330S', 2), ('iAssist Line', 1), ('Toshika 750', 2), ('Olivia x460', 1)]",14550,59.793,-37.8058628,144.9366672,25,Winter,True,1.1881,five stars excellent mobile & on time delivery,True,79.724
ORD173209,ID4716795515,2022-12-24,Thompson,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('Universe Note', 2), ('Olivia x460', 2)]",12670,69.403,-37.8190181,144.9526176,25,Summer,True,0.85846,awesome this is awesome,True,92.53733333333334
ORD191686,ID6167417902,2022-04-18,Thompson,"[('Thunder line', 1), ('Lucent 330S', 1)]",3410,39.288,-37.8170244,144.9530683,50,Autumn,True,0.71621,"works as advertised. speak clearly, and research the commands. also. get the wall holder, it keeps it out of the way. set up is a breeze, just make sure you are close to the device initially when connecting your phone. for some reason it made set up easier...though it could be psychological haha",True,78.576
ORD182747,ID1131986120,2022-09-03,Thompson,"[('Universe Note', 1), ('iStream', 2), ('Toshika 750', 2), ('Candle Inferno', 1)]",12820,48.43,-37.81497279999999,144.9449286,50,Spring,True,0.31773,satisfied have not put the protective cover on due to difficulty with curved screen,True,96.86
ORD353325,ID0702465424,2022-12-30,Thompson,"[('Toshika 750', 2), ('Universe Note', 1), ('iAssist Line', 1), ('Alcon 10', 2)]",32215,69.98,-37.8051025,144.94922219999995,25,Summer,True,0.86376,i love digico gold i love my new phone i wish that i had got it sooner,True,93.30666666666667
ORD420515,ID0355818813,2022-12-28,Bakers,"[('Alcon 10', 2), ('iAssist Line', 1), ('Toshika 750', 2)]",28765,65.563,-37.8073806,144.9981959,25,Summer,True,0.39079,"happy with my new cell excelente product, arrived as expected, reponsible buyer",True,87.41733333333333
ORD390581,ID3144992718,2022-04-06,Bakers,"[('iStream', 2), ('iAssist Line', 2)]",4750,49.262,-37.81370870000001,144.9882469,25,Autumn,False,0.74038,i love this candle works great for me i will be ordering another one today for my wife.,True,65.68266666666666
ORD322401,ID4884440915,2022-05-25,Thompson,"[('Alcon 10', 1), ('Candle Inferno', 2), ('Toshika 750', 1)]",14130,61.206,-37.79987720000001,144.9350044,25,Autumn,True,1.77619,works wonderful used for about 3 months and perfectly happy.,True,81.608
ORD077686,ID3317846711,2022-02-11,Thompson,"[('iStream', 2), ('Lucent 330S', 1), ('Universe Note', 1)]",4980,51.276,-37.8023765,144.9631636,50,Summer,True,1.82138,"flawless i was trepidatious to make this purchase because there’s no way to tell the quality of the phone before you get it, but i risked it and got the biscuit. the phone i recieved was absolutely perfect.",True,102.552
ORD242428,ID0443274277,2022-06-01,Bakers,"[('Candle Inferno', 2), ('iStream', 2)]",1160,60.279,-37.8186856,145.00534230000005,25,Winter,True,1.31383,great tablet fast screen good size never gives me problem,True,80.372
ORD488783,ID0534016293,2022-10-05,Bakers,"[('Toshika 750', 2), ('Universe Note', 2), ('iStream', 2)]",15840,77.866,-37.81933529999999,144.9974099,25,Spring,True,1.05711,olivia convoy 2 this is a nice phone but it won't work with verizon pre paid plans. the phone is in great shape but i can't use it. good phone.,True,103.82133333333333
ORD177079,ID4283908116,2022-10-01,Nickolson,"[('pearTV', 1), ('iStream', 1), ('Universe Note', 1), ('Thunder line', 2)]",14270,64.966,-37.8081037,144.97676819999995,0,Spring,False,1.32919,"not a new phone box did not come with the olivia factory seal, meaning it wasn't new. i didn't even turned it on, just returned it.",False,64.966
ORD331039,ID0600782163,2022-01-10,Nickolson,"[('pearTV', 2), ('Lucent 330S', 2)]",15080,71.39,-37.811975,144.965722,0,Summer,False,0.8102,"xiaomi excelt performance the best cel for the price is xiaomi, battery, power, performance and together lines and mi band 4, allucinant, one step in the future",True,71.39
ORD332670,ID0628177290,2022-07-15,Thompson,"[('Universe Note', 2), ('Toshika 750', 1), ('Thunder line', 1)]",13400,33.476,-37.8113593,144.9474612,25,Winter,False,0.15027,only got a box with no phone in it package arrived today with the s8+ box and all (charger etc) but no phone. i am so disappointed. payed this much for just a box! think twice before buying or end up having a bad time. hoping for a replacement or at least a refund because i purchased a phone not just a box.,False,44.63466666666667
ORD395938,ID0589449505,2022-08-09,Nickolson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('iAssist Line', 1), ('Alcon 10', 2)]",24875,63.717,-37.80944570000001,144.9727357,0,Winter,False,1.05628,"olivia universe note 3, black (verizon wireless) great phone .... great price. i have to admit i am still learning about it.. my previous phone was not nearly as sophisticated so theres a learning curve for me, but i'm having a blast. p.s.: the camera is awesome.",True,63.717
ORD310496,ID1131986120,2022-07-27,Thompson,"[('pearTV', 1), ('Candle Inferno', 2), ('iAssist Line', 1), ('iStream', 1)]",9545,35.438,-37.81497279999999,144.9449286,25,Winter,False,0.31773,"for the price, it's tough to complain but it does occasionally stutter or get slow downs. overall, you can't find a tablet at this price that will outperform but if you do have the extra money, i would use it for the new inferno hd 8 instead.",False,47.25066666666667
ORD236829,ID0598399382,2022-11-08,Nickolson,"[('Olivia x460', 1), ('Lucent 330S', 2), ('iStream', 1), ('iAssist Line', 2)]",8285,84.722,-37.8140167,144.9654387,0,Spring,True,0.62491,"one star had to return it. said it was for sprint, but it was not.",False,84.722
ORD203176,ID1982329495,2022-01-21,Bakers,"[('Thunder line', 1), ('pearTV', 2), ('Lucent 330S', 2)]",17260,95.277,-37.8022278,144.9905989,0,Summer,True,0.95594,i love the phone but it has its lil glitches that ... i love the phone but it has its lil glitches that let's you know it can't be a new product like i selected & paid for...but it's a no win situation with these cell phones,True,95.277
ORD263178,ID0313278255,2022-05-22,Nickolson,"[('Lucent 330S', 1), ('Alcon 10', 1), ('Thunder line', 1), ('Toshika 750', 2)]",21000,61.964,-37.8086441,144.9628946,25,Autumn,True,1.25287,five stars spot on and very nice!,True,82.61866666666667
ORD446528,ID6197209819,2022-02-13,Thompson,"[('Toshika 750', 1), ('Thunder line', 2), ('Universe Note', 1), ('Candle Inferno', 1)]",12560,32.277,-37.8179629,144.932101,50,Summer,False,1.44198,not working after 2 months stopped working after 2 months.,False,64.554
ORD365594,ID0317535755,2022-02-05,Nickolson,"[('iAssist Line', 2), ('Lucent 330S', 2), ('Alcon 10', 2)]",24810,41.106,-37.8051377,144.96418630000005,50,Summer,False,1.57056,five stars nice!,True,82.212
ORD264953,ID0030946383,2022-06-01,Nickolson,"[('Alcon 10', 1), ('pearTV', 1)]",15260,73.44,-37.8000128,144.97356609999997,0,Winter,False,2.09844,the phone in great condition and with no issues love the phone!,True,73.44
ORD022684,ID0076459258,2022-01-06,Thompson,"[('pearTV', 1), ('Toshika 750', 2), ('iStream', 1)]",15100,46.596,-37.8093137,144.93399680000005,25,Summer,False,1.20892,"would not recommend buying used device was defective, would returened it if i didnt throw away the package it came in. would not recommend buying used. should of went with my gut. very angry",False,62.12799999999999
ORD022064,ID0634775467,2022-03-12,Thompson,"[('Universe Note', 1), ('Thunder line', 2), ('Candle Inferno', 2), ('Toshika 750', 2)]",17310,77.563,-37.8110061,144.93910559999995,0,Autumn,True,0.72449,"well balance overall performance mid- range phone great mid range phone , the phone in my opinion should retail at 249 and be on sale at 199. but overall well balanced. no group texting issue compare to my previous xperia z3. however, the phone needs to dual speaker as a standard",True,77.563
ORD143004,ID0356127457,2022-09-11,Bakers,"[('Candle Inferno', 1), ('Alcon 10', 1), ('Universe Note', 2), ('iAssist Line', 1)]",18505,76.606,-37.8173966,144.988347,25,Spring,True,1.02238,speaker sounds good,True,102.14133333333332
ORD311170,ID0356215222,2022-04-15,Nickolson,"[('Universe Note', 2), ('Lucent 330S', 2)]",9360,41.052,-37.8040191,144.9648098,50,Autumn,True,1.67527,five stars excellent!!,True,82.104
ORD275153,ID0317729759,2022-09-15,Thompson,"[('Candle Inferno', 1), ('Universe Note', 2), ('iAssist Line', 2), ('iStream', 2)]",12080,100.234,-37.8091736,144.9563099,0,Spring,True,0.90124,"so perfect! thank you lucentrola-lenovo. it is an incredible phone! i love games, music, taking selfies and chatting with my friends. this is so perfect to me. the fingerprint its pretty useful too. buy it without doubts. note: the phone is pretty big.",True,100.234
ORD322469,ID0577521804,2022-05-25,Nickolson,"[('pearTV', 2), ('Toshika 750', 1), ('iAssist Line', 2)]",21390,39.468,-37.8233262,144.9720465,50,Autumn,True,0.57055,great product good quality,True,78.936
ORD345668,ID0575387772,2022-01-14,Nickolson,"[('Universe Note', 2), ('Candle Inferno', 1), ('Lucent 330S', 2)]",9790,78.473,-37.819644200000006,144.9849259,0,Summer,False,1.35703,four stars great phone meets my every needs,True,78.473
ORD126068,ID4716795179,2022-07-25,Thompson,"[('Alcon 10', 2), ('Universe Note', 2), ('iStream', 2), ('Thunder line', 1)]",27280,67.125,-37.8190917,144.952678,0,Winter,False,0.86822,worth the money works well and yet to see how the battery behaves over time.....,True,67.125
ORD254742,ID0371967864,2022-01-12,Nickolson,"[('Lucent 330S', 1), ('Candle Inferno', 1), ('Alcon 10', 2)]",19560,38.23,-37.8070268,144.9709796,50,Summer,False,1.29385,five stars great phone once i got used to some of the functions.,True,76.46
ORD126023,ID4520380544,2022-09-12,Nickolson,"[('Thunder line', 2), ('Candle Inferno', 2), ('Alcon 10', 2)]",23120,77.56,-37.8176318,144.9590456,0,Spring,False,0.93001,same price for 256gb and 64gb good value. no problems,True,77.56
ORD457715,ID0312718318,2022-10-18,Thompson,"[('Thunder line', 1), ('Olivia x460', 1)]",3405,107.619,-37.803356,144.9618828,0,Spring,True,1.66528,"four stars so far, so good",True,107.619
ORD194732,ID4418536072,2022-06-27,Thompson,"[('Thunder line', 2), ('Olivia x460', 2), ('Candle Inferno', 1)]",7240,82.511,-37.8020727,144.96336000000005,0,Winter,True,1.85616,"the new inferno hd 8 is an improvement over the inferno hd 7"". it is faster and the larger screen makes reading books much easier. i do wish the screen was easier to read when outside or in the car. too much glare in those places.",True,82.511
ORD415348,ID0576860418,2022-12-15,Bakers,"[('Lucent 330S', 2), ('iAssist Line', 2), ('iStream', 1)]",7060,85.804,-37.824397,144.98854630000002,0,Summer,True,1.70748,"very disappointed. very disapointed. phone arrived with damaged microphone. now i have to mail it back, wait for them to get it, wait for a refund, and then reorder. very disappointed.",False,85.804
ORD063034,ID0506049862,2022-09-22,Thompson,"[('Thunder line', 2), ('Lucent 330S', 2)]",6820,73.538,-37.8150378,144.9401497,25,Spring,True,0.66298,the phone ! grate phone love it !!!,True,98.05066666666666
ORD159062,ID3208518273,2022-08-30,Nickolson,"[('iStream', 1), ('iAssist Line', 2), ('Universe Note', 1), ('Toshika 750', 2)]",16690,29.641,-37.8005101,144.9692496,50,Winter,False,2.01333,"one star mala experiencia, no poseia desbloqueo internacional",False,59.282
ORD204156,ID6167289322,2022-12-02,Nickolson,"[('Toshika 750', 1), ('Universe Note', 2)]",11220,72.071,-37.8079843,144.96887230000004,25,Summer,True,1.18266,four stars very nice phone !,True,96.09466666666667
ORD041203,ID2692003111,2022-10-08,Bakers,"[('Olivia x460', 2), ('Alcon 10', 2), ('iAssist Line', 2), ('Thunder line', 2)]",29160,75.623,-37.8111429,145.0029111,0,Spring,False,0.6873,great phone for the price budget king,True,75.623
ORD064274,ID1905004303,2022-08-03,Nickolson,"[('Thunder line', 1), ('Alcon 10', 2), ('Toshika 750', 1)]",24400,54.813,-37.8197216,144.96816850000005,25,Winter,True,0.17466,five stars love the phone while using cricket... just a few minor app changes but a great phone.,True,73.084
ORD331219,ID5172380749,2022-10-01,Thompson,"[('Alcon 10', 2), ('Universe Note', 2), ('pearTV', 1), ('Thunder line', 1)]",33290,65.992,-37.8057681,144.93335359999998,0,Spring,False,1.43031,one star came without the earbuds.,False,65.992
ORD348698,ID6167344507,2022-08-17,Nickolson,"[('iAssist Line', 1), ('Universe Note', 1), ('Toshika 750', 2)]",14315,39.482,-37.80700220000001,144.9656899,50,Winter,True,1.3344,love the phone fast and fluent. love the phone. saving up for the 16gb version. its nice i like the cameras and its very sharp.☺😀,True,78.964
ORD078355,ID0634783572,2022-01-23,Thompson,"[('Universe Note', 2), ('Alcon 10', 2), ('iStream', 2), ('Toshika 750', 2)]",33740,78.859,-37.812409,144.93693159999995,0,Summer,True,0.89199,digico adds are annoying. lack of compatibility with google and other apps is annoying. price is great. nice to have but it really isn't better than other tablets out there.,False,78.859
ORD045010,ID5957906915,2022-07-04,Nickolson,"[('Lucent 330S', 2), ('pearTV', 1), ('Alcon 10', 1)]",17720,62.588,-37.8041039,144.9738665,25,Winter,True,1.65715,"insane value maxed out specs, has a headphone jack and no notches, for less than half the price of a flagship? yes please!",True,83.45066666666666
ORD495824,ID5015518500,2022-03-10,Nickolson,"[('Candle Inferno', 2), ('pearTV', 2), ('Toshika 750', 2), ('Universe Note', 2)]",29020,59.296,-37.8131241,144.96940700000005,25,Autumn,True,0.60914,"five stars great, love it!",True,79.06133333333334
